words,ipa
যদিও,ɟod̪i͡o̯
এতো,et̪o
বড়,bɔɽo
আগুন,agun
লাগে,lage
তাইলে,t̪a͡i̯le
সেইটা,ʃe͡i̯ta
নিবাইতে,niba͡i̯t̪e
হবে,hɔbe
না,na
আর,ar
সব,ʃɔb
থেকে,t̪ʰeke
ফানি,pʰani
কথা,kɔt̪ʰa
হইতেছে,ho͡i̯t̪ecʰe
দেখ,d̪ækʰo
লাগছে,lagcʰe
আমাদের,amad̪er
মাননীয়,manoniʲo
প্রধানমন্ত্রী,prod̪ʱanmont̪ri
সে,ʃe
অসহায়দের,ɔʃɔhaʲod̪er
নিয়ে,niʲe
কোনো,kono
বইলা,bo͡i̯la
ফায়ার,pʰaʲar
সার্ভিসের,ʃarbʱiser
অফিসে,ɔpʰise
কেনো,keno
মানুষ,manuʃ
গেলো,gelo
নিয়া,niʲa
তার,t̪ar
মাথাব্যাথা,mat̪ʰabæt̪ʰa
হইয়া,ho͡i̯ʲa
গেছে,gecʰe
হুম,hum
এইটা,e͡i̯ta
এইটার,e͡i̯tar
বিরুদ্ধে,birud̪d̪ʱe
স্টেপ,step
নিবে,nibe
একবার,ækbar
মানে,mane
মানুষদের,manuʃd̪er
জন্য,ɟonno
কী,ki
করা,kɔra
উচিত,ucit̪
বা,ba
তাদের,t̪ad̪er
এইযে,e͡i̯ɟe
এ,e
রোজাত,roɟat̪
সিজনটা,ʃiɟɔnta
লস,lɔʃo
হইলো,ho͡i̯lo
পাশে,paʃe
দাঁড়ানো,d̪ãɽano
বলে,bole
হ্যাঁ,hæ̃
এমনিতে,emnit̪e
অটোমেটিক,ɔtometik
যার,ɟar
ধরছে,d̪ʱorcʰe
মার্কেটে,markete
কিন্তু,kint̪u
আসলে,aʃole
ভিতরের,bʱit̪ɔrer
সিচুয়েশনটা,ʃicuʲeʃonta
আমরা,amra
নরমাল,nɔrmal
বুঝতেছি,buɟʱt̪ecʰi
সত্যি,ʃot̪t̪i
যেটা,ɟeta
তো,t̪o
কোটি,koti
টাকা,taka
ওই,o͡i̯
মানুষটা,manuʃta
এমনি,emni
হাইপার,ha͡i̯par
যাবে,ɟabe
প্রতিবাদ,prot̪ibad̪
করতে,kort̪e
তাই,t̪a͡i̯
উপরে,upɔre
ওনার,onar
হইতাছে,ho͡i̯t̪acʰe
তারা,t̪ara
বিক্ষোভ,bikkʰobʱ
অ,ɔ
আসছিলো,aʃcʰilo
নিভাইতে,nibʱa͡i̯t̪e
যাইয়া,ɟa͡i̯ʲa
হামলা,hamla
করলে,korle
কি,ki
ওরা,ora
প্রোপারলি,proparli
ওইখানে,o͡i̯kʰane
কাজটা,kaɟta
করে,kore
নাই,na͡i̯
অরা,ɔra
জাস্ট,ɟast
অল্প,ɔlpo
ইকটু,iktu
পানি,pani
আসছে,aʃcʰe
বলছে,bolcʰe
শেষ,ʃeʃ
খালি,kʰali
নিজেদের,niɟed̪er
যে,ɟe
ওইটাকে,o͡i̯take
অফিস,ɔpʰis
পর্যন্ত,porɟont̪o
যাতে,ɟat̪e
